*Fecha de Pago,*Forma de Pago,*Monto,*Moneda,*Tipo de cambio del dia del pago para moneda del pago,Tipo de cambio del dia del pago para moneda del documento relacionado,*Numero de Operacion,Banco Ordenante,Banco Beneficiario,*Numero de Parcialidad,*Serie de la Factura,*Folio de la Factura,Importe Pagado,Importe Saldo Anterior,Importe Saldo Insoluto
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79610,474.64,474.64,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79611,2017.28,2017.28,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79612,755.49,755.49,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79613,437.53,437.53,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79614,1417.54,1417.54,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79615,472.46,472.46,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79616,470.88,470.88,0
23/11/2020,17,1201286.89,USD,20.1172,22.195588,,,,1,FAC,79618,108,108,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79622,486.35,486.35,0
23/11/2020,17,1201286.89,USD,20.1172,21.746222,,,,1,FAC,79623,745,745,0
23/11/2020,17,1201286.89,USD,20.1172,21.746222,,,,1,FAC,79624,745,745,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79625,1295.52,1295.52,0
23/11/2020,17,1201286.89,USD,20.1172,21.746222,,,,1,FAC,79626,1025,1025,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79627,1746.06,1746.06,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79628,400.6,400.6,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79630,1164.85,1164.85,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79631,448.44,448.44,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79634,601.17,601.17,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79635,1092.21,1092.21,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79636,819.37,819.37,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79637,1340.25,1340.25,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79638,776.99,776.99,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79642,8939.39,8939.39,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79643,8939.39,8939.39,0
23/11/2020,17,1201286.89,USD,20.1172,21.426123,,,,1,FAC,79644,90,90,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79645,8939.39,8939.39,0
23/11/2020,17,1201286.89,USD,20.1172,22.363860,,,,1,FAC,79647,1025,1025,0
23/11/2020,17,1201286.89,USD,20.1172,21.951487,,,,1,FAC,79697,816.44,816.44,0
23/11/2020,17,1201286.89,USD,20.1172,22.114109,,,,1,FAC,79705,119.8,119.8,0
23/11/2020,17,1201286.89,USD,20.1172,21.919730,,,,1,FAC,79710,50,50,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79716,250.95,250.95,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79717,586.42,586.42,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79718,1246.63,1246.63,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79719,251.62,251.62,0
